State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.16666	3.17246	3.17908	3.17701	3.16293	3.14305	3.12234	3.09707	3.07387	3.05192	3.02127	2.96079	2.90902	2.87422	2.81955	2.75700	2.69031	2.63150	2.57682	2.51842	2.46871
2	1.00914	0.98602	0.93647	0.90674	0.91830	0.87205	0.88031	0.85554	0.84398	0.82581	0.82581	0.79773	0.79773	0.76305	0.73827	0.74653	0.71680	0.70029	0.69203	0.69863	0.72011
3	2.15773	2.09679	2.15414	2.18281	2.16131	2.23658	2.17923	2.24733	2.20074	2.16131	2.04303	1.95342	1.84948	1.86382	1.81005	1.70969	1.70611	1.73120	1.84948	1.79571	1.73837
4	3.95935	3.89793	3.82014	3.79148	3.67274	3.45573	3.32880	3.11589	3.02581	2.86203	2.84156	2.79243	2.83746	2.86613	3.00534	3.00534	3.11179	3.14455	2.98896	2.98896	2.99715
5	1.73832	1.74915	1.76540	1.71125	1.78164	1.81955	1.80331	2.04700	2.03075	2.12823	2.22570	2.26902	2.33942	2.33942	2.24736	2.17155	2.19321	2.13906	2.13364	2.13906	2.22029
6	2.93890	2.83632	2.72861	2.65168	2.62603	2.60552	2.68758	2.79016	2.67732	2.46704	2.27726	2.21059	2.15930	2.16443	2.09775	2.19520	2.10288	2.24649	2.30291	2.14391	2.31829
7	1.47954	1.49600	1.48104	1.41820	1.49749	1.59024	1.58575	1.58725	1.58725	1.55583	1.52292	1.57678	1.55434	1.54536	1.59323	1.62764	1.65756	1.65158	1.63961	1.71291	1.73386
8	2.52002	2.45649	2.48190	2.48190	2.57084	2.67673	2.87579	2.83343	2.91391	2.99438	2.90120	3.02826	2.88426	2.65555	2.59626	2.60896	2.61320	2.47343	2.47767	2.61743	2.53696
9	0.51104	0.51318	0.51455	0.51621	0.51793	0.52120	0.52387	0.52630	0.53099	0.53640	0.54234	0.55017	0.55724	0.56229	0.56941	0.57529	0.58117	0.58704	0.59233	0.59696	0.60088
10	1.10954	1.11214	1.11444	1.12325	1.11618	1.11084	1.10939	1.11113	1.11473	1.12180	1.13263	1.13364	1.14374	1.15355	1.15644	1.16279	1.16971	1.17794	1.18515	1.18833	1.18991
