State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.76841	0.71687	0.66679	0.62146	0.56626	0.52312	0.47560	0.44379	0.42149	0.41455	0.40724	0.40870	0.41711	0.43539	0.44635	0.46865	0.49753	0.54615	0.61524	0.71395	0.82179
2	1.41245	1.23462	1.03784	0.87167	0.69966	0.56702	0.50434	0.44604	0.41834	0.42126	0.40960	0.42126	0.44312	0.46353	0.52038	0.61658	0.87312	1.42994	1.98821	2.63103	3.18785
3	5.65596	5.91534	5.98494	5.57371	4.75758	3.59982	2.32185	1.62909	1.28429	1.23052	1.42032	1.23684	1.38236	1.96756	4.06799	7.85760	12.11855	15.13632	16.60725	16.68317	16.24980
4	5.70221	6.67064	7.97153	10.04210	12.91489	16.57543	21.05264	25.89843	30.92852	32.60521	35.72733	43.02674	43.52902	42.12696	38.46642	32.43537	25.48649	19.46990	15.32514	12.38731	10.15774
5	2.67641	2.70508	2.95361	3.32161	3.78520	4.20100	4.73628	5.66825	5.87853	4.43041	2.84368	2.35619	2.09811	1.86393	1.68231	1.51026	1.46724	1.41467	1.40989	1.37166	1.37644
6	4.18255	4.77553	5.75779	7.30588	9.79097	13.42128	18.07006	22.39293	24.15830	24.94139	23.23488	19.22886	17.32770	15.56687	14.15005	12.09046	9.63254	7.68159	5.83927	4.60352	3.89738
7	2.79109	3.01554	3.42219	3.79055	4.14835	4.42429	4.21172	3.57270	2.94821	2.96009	2.93368	2.30787	2.22865	2.25901	2.27882	2.41349	2.57060	2.52571	2.49535	2.32635	2.21412
8	2.19414	2.29880	2.19040	2.09695	2.11191	1.97360	1.91006	1.58860	1.62224	2.91555	3.36783	1.25219	1.02418	1.02044	1.02044	1.31947	1.68579	1.88763	2.08200	2.31375	2.42963
9	0.37541	0.36980	0.36304	0.35429	0.34428	0.33280	0.31996	0.30781	0.29879	0.29287	0.29062	0.29036	0.29193	0.29586	0.30052	0.30534	0.31022	0.31682	0.32091	0.32636	0.32961
10	1.86178	1.82167	1.75430	1.66375	1.53665	1.37364	1.19814	1.02711	0.89963	0.83060	0.79940	0.80679	0.85034	0.91147	0.97859	1.05003	1.12173	1.18439	1.23673	1.27761	1.30614
