State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	8.44161	0.47826	3.46246	2.13972	3.02076	0.40725	0.58607	0.32205
2	2.11709	0.25940	1.01236	2.24383	0.82424	0.40961	0.93471	0.20584
3	0.97555	0.69446	1.94445	2.21191	2.04324	1.42036	5.38544	0.23662
4	0.85399	36.99389	6.40348	1.85668	2.84186	35.72482	20.05498	0.22599
5	0.64569	1.83529	1.69581	1.16641	2.22594	2.84377	2.88608	0.47912
6	0.68174	30.20081	4.28564	1.12595	2.27750	23.23559	12.35424	0.51722
7	2.33732	3.05071	1.44972	1.06105	1.52308	2.93377	2.99863	0.66790
8	0.82559	1.98603	2.71435	1.76752	2.90150	3.36794	1.82865	0.33834
9	58.89012	0.20578	0.46490	0.73653	0.54239	0.29063	0.35197	1.22643
10	24.23130	0.84522	1.00031	1.01560	1.13275	0.79942	1.28600	0.89533
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
