State (Emission order)	H3K27me3	H2AZ	H3K4me2	H3K4me3	H3K9ac	H3K27ac	H3K4me1	H3K9me3	H3K36me3	H4K20me1	H3K79me2
1	5.138067016412828E-4	6.395304254303688E-4	2.9222450291449466E-4	0.0013875989538690054	6.623334907773953E-4	0.0012214712868866173	0.009383479152260695	0.013741089069210661	0.1692276199265909	0.009276997322509375	0.01766705630339853
2	8.7815797035634E-4	0.00258335282802244	0.016289358647092845	0.040786549097692824	0.0023720567813903712	0.009168774523100304	0.16826866667440094	0.029322586221030754	0.12504809161828565	0.03865347005586043	0.6523451267668819
3	9.540848713895431E-4	0.036705059994298066	0.6050602481287068	0.7925853503304304	0.1750525656624858	0.3360232556570449	0.7442014975353785	0.02311285689459229	0.15156216417691507	0.06563850367577026	0.9385596284590734
4	0.003069571666860685	0.5900375572207498	0.8829714311721562	0.9846480075585277	0.9712952059686858	0.9127908308723705	0.38154865024933166	0.010637060272541876	0.026017493087908322	0.0231367057548581	0.8125378278118857
5	2.8642031433147276E-4	0.5339340129115048	0.7800714658959053	0.8215933039691004	0.4717419240839534	0.9329120531263574	0.9397434668941689	0.01752338573337652	0.017022713215465977	0.0031173449544829777	0.08277427426829026
6	0.05726424150136508	0.6036594691283265	0.7971962634675023	0.8381686009989754	0.2500236156910013	0.11720321921891862	0.6773925294889326	0.010683204488734471	0.0013906097670991187	0.01099254547151522	0.02415025071329672
7	0.015840391013044845	0.14028142570191413	0.06968651315480633	0.07349213526880845	0.0063447025701860085	0.024182908242201248	0.6026133420636819	0.013463916400534669	0.0018326204109974178	0.006878810682184526	0.003598039376851529
8	0.020371272548169776	0.034848192240539706	0.08973742729487703	0.18613339571802315	0.029815823887032418	0.24501842422905623	0.7290368604265273	0.07385522428539346	0.14332778978939564	0.030964188327265923	0.10718638720235482
9	0.0015389505470723875	0.001075614435173497	7.123507217453484E-5	1.6789077866407218E-4	1.7618879776158393E-4	4.092489306339033E-4	8.910530460183385E-4	0.002807725129218471	6.618951012483033E-4	0.0011116043220309618	1.885151656087682E-5
10	0.028807915722082054	0.0053651740397408715	2.469542128556553E-4	4.216840429138928E-4	5.13234872605231E-4	0.0017124548008050915	0.004103059553020139	0.006705773451312834	9.439588669918301E-4	0.005265420213129522	2.476506114002509E-4
